"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","214.5","20","32.5","2013/01/03 00:00:00"
"02","88.5","17","17.5","2013/02/27 00:00:00"
"03","108.5","16","21.0","2013/03/31 00:00:00"
"04","386.5","24","51.5","2013/04/12 00:00:00"
"05","392.0","20","81.0","2013/05/11 00:00:00"
"06","309.0","18","73.5","2013/06/04 00:00:00"
"07","364.0","10","144.0","2013/07/13 00:00:00"
"08","675.0","8","249.5","2013/08/21 00:00:00"
"09","320.0","11","117.5","2013/09/01 00:00:00"
"10","346.5","21","97.0","2013/10/06 00:00:00"
"11","124.0","16","23.5","2013/11/25 00:00:00"
"12","428.0","22","81.0","2013/12/17 00:00:00"