Month,MonthlyRainfall_mm,RainyDays,MaxDailyRainfall_mm,MaxDailyRainfallDateTime,Year,Station,StationCode
12,52.0,9,20.5,2021/12/21 00:00:00,2021,Taipei,C1AC50
1,79.0,12,18.0,2013/01/08 00:00:00,2013,Taoyuan,C1C510
2,29.5,13,14.0,2013/02/27 00:00:00,2013,Taoyuan,C1C510
3,88.5,14,24.0,2013/03/28 00:00:00,2013,Taoyuan,C1C510
4,344.0,19,66.0,2013/04/05 00:00:00,2013,Taoyuan,C1C510
5,434.0,12,179.5,2013/05/11 00:00:00,2013,Taoyuan,C1C510
6,70.0,8,31.5,2013/06/23 00:00:00,2013,Taoyuan,C1C510
7,160.5,5,103.5,2013/07/13 00:00:00,2013,Taoyuan,C1C510
8,510.5,14,159.0,2013/08/20 00:00:00,2013,Taoyuan,C1C510
9,33.0,10,15.5,2013/09/20 00:00:00,2013,Taoyuan,C1C510
10,56.5,8,33.5,2013/10/04 00:00:00,2013,Taoyuan,C1C510
11,48.5,11,18.0,2013/11/25 00:00:00,2013,Taoyuan,C1C510
12,191.5,16,54.0,2013/12/17 00:00:00,2013,Taoyuan,C1C510
1,304.0,20,47.5,2016/01/11 00:00:00,2016,Taoyuan,C1C510
2,102.5,15,26.0,2016/02/01 00:00:00,2016,Taoyuan,C1C510
3,274.0,18,53.5,2016/03/23 00:00:00,2016,Taoyuan,C1C510
4,190.0,12,53.5,2016/04/13 00:00:00,2016,Taoyuan,C1C510
5,254.5,9,159.5,2016/05/16 00:00:00,2016,Taoyuan,C1C510
6,420.5,13,150.0,2016/06/14 00:00:00,2016,Taoyuan,C1C510
7,22.5,3,18.5,2016/07/09 00:00:00,2016,Taoyuan,C1C510
8,92.5,9,40.0,2016/08/12 00:00:00,2016,Taoyuan,C1C510
9,271.5,15,98.5,2016/09/06 00:00:00,2016,Taoyuan,C1C510
10,50.5,8,12.5,2016/10/08 00:00:00,2016,Taoyuan,C1C510
11,128.0,12,54.5,2016/11/23 00:00:00,2016,Taoyuan,C1C510
12,5.5,4,2.0,2016/12/28 00:00:00,2016,Taoyuan,C1C510
1,27.5,5,14.5,2017/01/13 00:00:00,2017,Taoyuan,C1C510
2,99.0,8,37.5,2017/02/24 00:00:00,2017,Taoyuan,C1C510
3,178.0,18,37.5,2017/03/31 00:00:00,2017,Taoyuan,C1C510
4,128.0,12,37.0,2017/04/21 00:00:00,2017,Taoyuan,C1C510
5,83.5,9,49.5,2017/05/16 00:00:00,2017,Taoyuan,C1C510
6,629.5,14,135.5,2017/06/14 00:00:00,2017,Taoyuan,C1C510
7,73.5,9,34.5,2017/07/01 00:00:00,2017,Taoyuan,C1C510
8,25.5,4,22.0,2017/08/02 00:00:00,2017,Taoyuan,C1C510
9,28.5,6,11.5,2017/09/13 00:00:00,2017,Taoyuan,C1C510
10,137.5,9,35.0,2017/10/13 00:00:00,2017,Taoyuan,C1C510
11,83.0,14,12.0,2017/11/13 00:00:00,2017,Taoyuan,C1C510
12,56.0,12,13.0,2017/12/16 00:00:00,2017,Taoyuan,C1C510
1,27.0,6,9.5,2015/01/13 00:00:00,2015,Taoyuan,C1C510
2,83.0,11,53.5,2015/02/24 00:00:00,2015,Taoyuan,C1C510
3,159.0,17,35.0,2015/03/11 00:00:00,2015,Taoyuan,C1C510
4,96.5,9,30.5,2015/04/21 00:00:00,2015,Taoyuan,C1C510
5,287.0,14,82.0,2015/05/24 00:00:00,2015,Taoyuan,C1C510
6,71.0,5,55.5,2015/06/23 00:00:00,2015,Taoyuan,C1C510
7,18.0,4,6.5,2015/07/10 00:00:00,2015,Taoyuan,C1C510
8,308.5,15,99.5,2015/08/08 00:00:00,2015,Taoyuan,C1C510
9,210.5,7,79.5,2015/09/16 00:00:00,2015,Taoyuan,C1C510
10,87.5,5,69.0,2015/10/09 00:00:00,2015,Taoyuan,C1C510
11,14.0,3,9.5,2015/11/11 00:00:00,2015,Taoyuan,C1C510
12,93.0,12,33.0,2015/12/10 00:00:00,2015,Taoyuan,C1C510
1,31.0,6,25.0,2014/01/14 00:00:00,2014,Taoyuan,C1C510
2,189.5,14,73.5,2014/02/09 00:00:00,2014,Taoyuan,C1C510
3,128.0,14,22.0,2014/03/08 00:00:00,2014,Taoyuan,C1C510
4,83.0,9,34.0,2014/04/24 00:00:00,2014,Taoyuan,C1C510
5,422.0,21,139.5,2014/05/21 00:00:00,2014,Taoyuan,C1C510
6,176.5,11,52.0,2014/06/05 00:00:00,2014,Taoyuan,C1C510
7,67.5,5,38.0,2014/07/23 00:00:00,2014,Taoyuan,C1C510
8,38.0,3,23.0,2014/08/18 00:00:00,2014,Taoyuan,C1C510
9,86.5,2,82.0,2014/09/22 00:00:00,2014,Taoyuan,C1C510
10,37.5,6,22.0,2014/10/09 00:00:00,2014,Taoyuan,C1C510
11,36.0,7,15.5,2014/11/17 00:00:00,2014,Taoyuan,C1C510
12,68.0,12,29.5,2014/12/04 00:00:00,2014,Taoyuan,C1C510
1,48.5,10,16.5,2019/01/16 00:00:00,2019,Taoyuan,C1C510
2,74.5,10,63.0,2019/02/24 00:00:00,2019,Taoyuan,C1C510
3,244.5,17,70.0,2019/03/09 00:00:00,2019,Taoyuan,C1C510
4,145.0,12,68.5,2019/04/21 00:00:00,2019,Taoyuan,C1C510
5,521.5,18,322.5,2019/05/17 00:00:00,2019,Taoyuan,C1C510
6,453.0,13,114.5,2019/06/23 00:00:00,2019,Taoyuan,C1C510
7,75.0,7,34.0,2019/07/27 00:00:00,2019,Taoyuan,C1C510
8,162.0,10,47.0,2019/08/09 00:00:00,2019,Taoyuan,C1C510
9,198.5,14,54.5,2019/09/29 00:00:00,2019,Taoyuan,C1C510
10,8.5,4,4.0,2019/10/29 00:00:00,2019,Taoyuan,C1C510
11,25.5,7,12.5,2019/11/22 00:00:00,2019,Taoyuan,C1C510
12,197.0,12,58.0,2019/12/06 00:00:00,2019,Taoyuan,C1C510
1,295.0,12,112.5,2018/01/08 00:00:00,2018,Taoyuan,C1C510
2,134.5,15,29.0,2018/02/22 00:00:00,2018,Taoyuan,C1C510
3,56.5,6,27.5,2018/03/20 00:00:00,2018,Taoyuan,C1C510
4,51.0,9,12.5,2018/04/24 00:00:00,2018,Taoyuan,C1C510
5,38.5,3,34.0,2018/05/08 00:00:00,2018,Taoyuan,C1C510
6,43.0,10,12.5,2018/06/15 00:00:00,2018,Taoyuan,C1C510
7,59.5,7,25.5,2018/07/11 00:00:00,2018,Taoyuan,C1C510
8,241.5,13,46.0,2018/08/25 00:00:00,2018,Taoyuan,C1C510
9,27.5,10,12.0,2018/09/26 00:00:00,2018,Taoyuan,C1C510
10,70.5,10,18.0,2018/10/12 00:00:00,2018,Taoyuan,C1C510
11,32.5,11,8.5,2018/11/19 00:00:00,2018,Taoyuan,C1C510
12,57.5,12,25.5,2018/12/23 00:00:00,2018,Taoyuan,C1C510
1,27.0,14,6.5,2023/01/24 00:00:00,2023,Taoyuan,C1C510
2,51.5,8,22.5,2023/02/06 00:00:00,2023,Taoyuan,C1C510
3,36.0,8,24.0,2023/03/25 00:00:00,2023,Taoyuan,C1C510
4,159.5,10,59.5,2023/04/20 00:00:00,2023,Taoyuan,C1C510
5,387.5,12,183.5,2023/05/19 00:00:00,2023,Taoyuan,C1C510
6,99.0,12,24.0,2023/06/24 00:00:00,2023,Taoyuan,C1C510
7,21.5,8,8.0,2023/07/20 00:00:00,2023,Taoyuan,C1C510
8,228.5,10,64.5,2023/08/18 00:00:00,2023,Taoyuan,C1C510
9,70.0,8,28.0,2023/09/08 00:00:00,2023,Taoyuan,C1C510
10,98.0,12,35.0,2023/10/04 00:00:00,2023,Taoyuan,C1C510
11,9.5,3,8.5,2023/11/16 00:00:00,2023,Taoyuan,C1C510
12,91.0,13,60.0,2023/12/04 00:00:00,2023,Taoyuan,C1C510
1,87.0,14,27.5,2022/01/22 00:00:00,2022,Taoyuan,C1C510
2,274.0,18,33.5,2022/02/23 00:00:00,2022,Taoyuan,C1C510
3,220.0,13,50.5,2022/03/28 00:00:00,2022,Taoyuan,C1C510
4,75.0,10,36.0,2022/04/02 00:00:00,2022,Taoyuan,C1C510
5,570.0,20,120.5,2022/05/25 00:00:00,2022,Taoyuan,C1C510
6,256.0,13,73.0,2022/06/07 00:00:00,2022,Taoyuan,C1C510
7,52.0,6,35.0,2022/07/29 00:00:00,2022,Taoyuan,C1C510
8,80.5,7,60.0,2022/08/02 00:00:00,2022,Taoyuan,C1C510
9,145.0,9,44.0,2022/09/03 00:00:00,2022,Taoyuan,C1C510
10,192.0,11,86.0,2022/10/16 00:00:00,2022,Taoyuan,C1C510
11,118.0,6,60.5,2022/11/24 00:00:00,2022,Taoyuan,C1C510
12,105.0,17,21.0,2022/12/11 00:00:00,2022,Taoyuan,C1C510
1,47.0,10,34.5,2020/01/26 00:00:00,2020,Taoyuan,C1C510
2,67.0,6,52.5,2020/02/16 00:00:00,2020,Taoyuan,C1C510
3,155.0,13,47.0,2020/03/10 00:00:00,2020,Taoyuan,C1C510
4,75.0,13,20.0,2020/04/11 00:00:00,2020,Taoyuan,C1C510
5,357.5,13,106.0,2020/05/22 00:00:00,2020,Taoyuan,C1C510
6,56.0,5,35.0,2020/06/07 00:00:00,2020,Taoyuan,C1C510
7,2.0,3,1.0,2020/07/01 00:00:00,2020,Taoyuan,C1C510
8,169.0,11,49.0,2020/08/03 00:00:00,2020,Taoyuan,C1C510
9,145.0,10,45.5,2020/09/20 00:00:00,2020,Taoyuan,C1C510
10,23.5,6,14.0,2020/10/22 00:00:00,2020,Taoyuan,C1C510
11,14.0,6,6.5,2020/11/13 00:00:00,2020,Taoyuan,C1C510
12,93.0,20,20.5,2020/12/09 00:00:00,2020,Taoyuan,C1C510
1,43.0,10,11.5,2021/01/11 00:00:00,2021,Taoyuan,C1C510
2,51.5,7,26.5,2021/02/11 00:00:00,2021,Taoyuan,C1C510
3,113.0,11,44.5,2021/03/06 00:00:00,2021,Taoyuan,C1C510
4,69.5,5,32.5,2021/04/28 00:00:00,2021,Taoyuan,C1C510
5,102.0,5,74.0,2021/05/31 00:00:00,2021,Taoyuan,C1C510
6,140.5,8,38.0,2021/06/22 00:00:00,2021,Taoyuan,C1C510
7,159.5,6,44.0,2021/07/22 00:00:00,2021,Taoyuan,C1C510
8,246.0,8,138.5,2021/08/07 00:00:00,2021,Taoyuan,C1C510
9,11.5,2,10.0,2021/09/12 00:00:00,2021,Taoyuan,C1C510
10,116.0,11,41.5,2021/10/11 00:00:00,2021,Taoyuan,C1C510
11,53.5,8,27.5,2021/11/18 00:00:00,2021,Taoyuan,C1C510
12,69.5,10,44.5,2021/12/21 00:00:00,2021,Taoyuan,C1C510
1,45.0,11,10.0,2013/01/09 00:00:00,2013,Hsinchu,C1D400
2,14.0,9,6.5,2013/02/27 00:00:00,2013,Hsinchu,C1D400
3,107.5,17,34.0,2013/03/28 00:00:00,2013,Hsinchu,C1D400
4,416.0,26,46.5,2013/04/05 00:00:00,2013,Hsinchu,C1D400
5,429.5,26,76.5,2013/05/11 00:00:00,2013,Hsinchu,C1D400
6,271.5,17,91.0,2013/06/04 00:00:00,2013,Hsinchu,C1D400
7,852.5,19,371.5,2013/07/13 00:00:00,2013,Hsinchu,C1D400
8,1105.5,19,414.5,2013/08/21 00:00:00,2013,Hsinchu,C1D400
9,299.0,9,178.0,2013/09/21 00:00:00,2013,Hsinchu,C1D400
10,600.0,9,347.0,2013/10/06 00:00:00,2013,Hsinchu,C1D400
11,52.5,6,38.0,2013/11/25 00:00:00,2013,Hsinchu,C1D400
12,164.0,17,74.0,2013/12/17 00:00:00,2013,Hsinchu,C1D400
1,22.0,6,6.5,2015/01/13 00:00:00,2015,Hsinchu,C1D400
2,51.5,11,27.0,2015/02/16 00:00:00,2015,Hsinchu,C1D400
3,163.5,17,44.0,2015/03/23 00:00:00,2015,Hsinchu,C1D400
4,149.5,16,36.5,2015/04/11 00:00:00,2015,Hsinchu,C1D400
5,454.0,22,64.5,2015/05/04 00:00:00,2015,Hsinchu,C1D400
6,231.0,12,87.5,2015/06/21 00:00:00,2015,Hsinchu,C1D400
7,621.5,17,374.5,2015/07/10 00:00:00,2015,Hsinchu,C1D400
8,770.5,18,253.0,2015/08/08 00:00:00,2015,Hsinchu,C1D400
9,506.0,12,324.5,2015/09/28 00:00:00,2015,Hsinchu,C1D400
10,123.0,7,59.5,2015/10/08 00:00:00,2015,Hsinchu,C1D400
11,14.5,6,4.5,2015/11/21 00:00:00,2015,Hsinchu,C1D400
12,137.5,16,48.0,2015/12/10 00:00:00,2015,Hsinchu,C1D400
1,0.5,1,0.5,2014/01/03 00:00:00,2014,Hsinchu,C1D400
2,72.5,10,29.5,2014/02/19 00:00:00,2014,Hsinchu,C1D400
3,20.5,9,6.0,2014/03/05 00:00:00,2014,Hsinchu,C1D400
4,62.5,10,24.0,2014/04/24 00:00:00,2014,Hsinchu,C1D400
5,475.0,29,86.0,2014/05/29 00:00:00,2014,Hsinchu,C1D400
6,169.0,19,38.5,2014/06/30 00:00:00,2014,Hsinchu,C1D400
7,116.0,7,59.5,2014/07/08 00:00:00,2014,Hsinchu,C1D400
8,151.0,19,28.5,2014/08/27 00:00:00,2014,Hsinchu,C1D400
9,391.5,11,130.5,2014/09/24 00:00:00,2014,Hsinchu,C1D400
10,229.0,4,104.5,2014/10/10 00:00:00,2014,Hsinchu,C1D400
11,50.5,7,22.0,2014/11/13 00:00:00,2014,Hsinchu,C1D400
12,121.5,15,37.0,2014/12/04 00:00:00,2014,Hsinchu,C1D400
1,155.5,16,49.5,2016/01/17 00:00:00,2016,Hsinchu,C1D400
2,9.0,10,2.0,2016/02/01 00:00:00,2016,Hsinchu,C1D400
3,334.5,18,53.5,2016/03/18 00:00:00,2016,Hsinchu,C1D400
4,86.0,12,27.0,2016/04/27 00:00:00,2016,Hsinchu,C1D400
5,167.5,19,47.5,2016/05/11 00:00:00,2016,Hsinchu,C1D400
6,513.5,24,89.0,2016/06/05 00:00:00,2016,Hsinchu,C1D400
7,245.5,19,42.5,2016/07/19 00:00:00,2016,Hsinchu,C1D400
8,161.5,16,53.5,2016/08/11 00:00:00,2016,Hsinchu,C1D400
9,1081.5,18,494.5,2016/09/27 00:00:00,2016,Hsinchu,C1D400
10,82.0,10,27.0,2016/10/08 00:00:00,2016,Hsinchu,C1D400
11,109.5,11,35.0,2016/11/23 00:00:00,2016,Hsinchu,C1D400
12,19.0,5,9.0,2016/12/22 00:00:00,2016,Hsinchu,C1D400
1,24.0,6,13.5,2017/01/14 00:00:00,2017,Hsinchu,C1D400
2,101.5,8,25.5,2017/02/24 00:00:00,2017,Hsinchu,C1D400
3,191.5,20,28.5,2017/03/06 00:00:00,2017,Hsinchu,C1D400
4,311.5,17,85.5,2017/04/21 00:00:00,2017,Hsinchu,C1D400
5,353.0,22,101.5,2017/05/24 00:00:00,2017,Hsinchu,C1D400
6,776.0,21,188.5,2017/06/03 00:00:00,2017,Hsinchu,C1D400
7,436.5,18,121.5,2017/07/29 00:00:00,2017,Hsinchu,C1D400
8,47.5,9,18.5,2017/08/03 00:00:00,2017,Hsinchu,C1D400
9,150.0,13,34.0,2017/09/13 00:00:00,2017,Hsinchu,C1D400
10,151.5,11,52.5,2017/10/13 00:00:00,2017,Hsinchu,C1D400
11,89.5,18,17.5,2017/11/14 00:00:00,2017,Hsinchu,C1D400
12,44.0,9,16.5,2017/12/08 00:00:00,2017,Hsinchu,C1D400
1,44.5,9,12.0,2019/01/16 00:00:00,2019,Hsinchu,C1D400
2,41.0,11,26.5,2019/02/24 00:00:00,2019,Hsinchu,C1D400
3,329.0,20,72.5,2019/03/09 00:00:00,2019,Hsinchu,C1D400
4,179.5,18,37.0,2019/04/16 00:00:00,2019,Hsinchu,C1D400
5,430.5,24,75.0,2019/05/01 00:00:00,2019,Hsinchu,C1D400
6,461.5,18,92.5,2019/06/14 00:00:00,2019,Hsinchu,C1D400
7,271.5,15,61.0,2019/07/22 00:00:00,2019,Hsinchu,C1D400
8,588.0,17,287.0,2019/08/09 00:00:00,2019,Hsinchu,C1D400
9,301.5,13,127.0,2019/09/30 00:00:00,2019,Hsinchu,C1D400
10,166.0,2,160.0,2019/10/01 00:00:00,2019,Hsinchu,C1D400
11,1.5,2,1.0,2019/11/22 00:00:00,2019,Hsinchu,C1D400
12,79.5,7,24.5,2019/12/06 00:00:00,2019,Hsinchu,C1D400
1,267.5,14,94.0,2018/01/08 00:00:00,2018,Hsinchu,C1D400
2,158.0,16,38.5,2018/02/22 00:00:00,2018,Hsinchu,C1D400
3,121.0,9,43.0,2018/03/05 00:00:00,2018,Hsinchu,C1D400
4,131.5,13,37.5,2018/04/24 00:00:00,2018,Hsinchu,C1D400
5,126.5,5,88.0,2018/05/08 00:00:00,2018,Hsinchu,C1D400
6,353.0,22,83.0,2018/06/30 00:00:00,2018,Hsinchu,C1D400
7,524.5,11,147.5,2018/07/10 00:00:00,2018,Hsinchu,C1D400
8,442.0,23,55.5,2018/08/28 00:00:00,2018,Hsinchu,C1D400
9,430.5,16,140.5,2018/09/28 00:00:00,2018,Hsinchu,C1D400
10,159.0,14,63.5,2018/10/04 00:00:00,2018,Hsinchu,C1D400
11,49.0,11,18.5,2018/11/19 00:00:00,2018,Hsinchu,C1D400
12,24.5,8,17.0,2018/12/23 00:00:00,2018,Hsinchu,C1D400
1,53.5,11,40.5,2020/01/26 00:00:00,2020,Hsinchu,C1D400
2,31.0,6,7.5,2020/02/05 00:00:00,2020,Hsinchu,C1D400
3,228.0,14,63.5,2020/03/10 00:00:00,2020,Hsinchu,C1D400
4,125.0,16,29.5,2020/04/11 00:00:00,2020,Hsinchu,C1D400
5,544.0,23,130.5,2020/05/16 00:00:00,2020,Hsinchu,C1D400
6,134.5,10,65.0,2020/06/14 00:00:00,2020,Hsinchu,C1D400
7,330.0,14,51.0,2020/07/23 00:00:00,2020,Hsinchu,C1D400
8,324.0,20,93.5,2020/08/10 00:00:00,2020,Hsinchu,C1D400
9,163.0,16,49.0,2020/09/12 00:00:00,2020,Hsinchu,C1D400
10,21.5,1,21.5,2020/10/23 00:00:00,2020,Hsinchu,C1D400
11,8.0,5,4.0,2020/11/07 00:00:00,2020,Hsinchu,C1D400
12,88.0,13,23.5,2020/12/23 00:00:00,2020,Hsinchu,C1D400
1,27.5,8,11.0,2021/01/11 00:00:00,2021,Hsinchu,C1D400
2,32.5,8,21.0,2021/02/11 00:00:00,2021,Hsinchu,C1D400
3,114.5,12,39.0,2021/03/06 00:00:00,2021,Hsinchu,C1D400
4,106.0,11,36.5,2021/04/28 00:00:00,2021,Hsinchu,C1D400
5,349.5,11,146.5,2021/05/30 00:00:00,2021,Hsinchu,C1D400
6,414.0,16,84.0,2021/06/23 00:00:00,2021,Hsinchu,C1D400
7,965.0,18,277.5,2021/07/24 00:00:00,2021,Hsinchu,C1D400
8,632.0,22,174.0,2021/08/07 00:00:00,2021,Hsinchu,C1D400
9,196.0,9,142.5,2021/09/12 00:00:00,2021,Hsinchu,C1D400
10,206.0,11,90.5,2021/10/11 00:00:00,2021,Hsinchu,C1D400
11,78.5,16,29.0,2021/11/08 00:00:00,2021,Hsinchu,C1D400
12,28.5,8,14.5,2021/12/21 00:00:00,2021,Hsinchu,C1D400
1,20.5,9,6.5,2023/01/24 00:00:00,2023,Hsinchu,C1D400
2,36.0,7,21.5,2023/02/06 00:00:00,2023,Hsinchu,C1D400
3,49.0,9,23.0,2023/03/26 00:00:00,2023,Hsinchu,C1D400
4,250.5,15,88.0,2023/04/20 00:00:00,2023,Hsinchu,C1D400
5,381.5,17,154.5,2023/05/31 00:00:00,2023,Hsinchu,C1D400
6,472.0,21,95.5,2023/06/24 00:00:00,2023,Hsinchu,C1D400
7,290.0,17,55.0,2023/07/11 00:00:00,2023,Hsinchu,C1D400
8,445.0,20,76.0,2023/08/02 00:00:00,2023,Hsinchu,C1D400
9,191.5,12,89.5,2023/09/06 00:00:00,2023,Hsinchu,C1D400
10,241.5,9,109.5,2023/10/04 00:00:00,2023,Hsinchu,C1D400
11,24.5,3,20.5,2023/11/16 00:00:00,2023,Hsinchu,C1D400
12,90.0,10,53.0,2023/12/04 00:00:00,2023,Hsinchu,C1D400
1,86.5,16,26.0,2022/01/21 00:00:00,2022,Hsinchu,C1D400
2,247.0,17,52.5,2022/02/14 00:00:00,2022,Hsinchu,C1D400
3,249.5,13,69.0,2022/03/28 00:00:00,2022,Hsinchu,C1D400
4,103.5,13,30.0,2022/04/02 00:00:00,2022,Hsinchu,C1D400
5,460.0,22,66.0,2022/05/26 00:00:00,2022,Hsinchu,C1D400
6,221.5,20,61.5,2022/06/07 00:00:00,2022,Hsinchu,C1D400
7,309.0,12,88.5,2022/07/03 00:00:00,2022,Hsinchu,C1D400
8,137.5,17,35.5,2022/08/25 00:00:00,2022,Hsinchu,C1D400
9,916.5,11,249.0,2022/09/03 00:00:00,2022,Hsinchu,C1D400
10,348.5,11,179.5,2022/10/16 00:00:00,2022,Hsinchu,C1D400
11,113.5,7,46.0,2022/11/24 00:00:00,2022,Hsinchu,C1D400
12,63.0,13,25.5,2022/12/17 00:00:00,2022,Hsinchu,C1D400
